# roll pitch yaw tx ty tz
0.420180 -0.721490 -0.610513 -0.051889 -0.034141 0.300482
0.414972 -0.720791 -0.607434 -0.052007 -0.034644 0.300735
0.409827 -0.719488 -0.604014 -0.052068 -0.035052 0.300978
0.403321 -0.718892 -0.599931 -0.052093 -0.035527 0.301594
0.396947 -0.718538 -0.595897 -0.052059 -0.036005 0.301982
0.390987 -0.717187 -0.592060 -0.052003 -0.036445 0.302549
0.383856 -0.716263 -0.587679 -0.051997 -0.036967 0.303188
0.377250 -0.715210 -0.583575 -0.051924 -0.037401 0.303846
0.370902 -0.713988 -0.579519 -0.051802 -0.037856 0.304641
0.363793 -0.712526 -0.575160 -0.051587 -0.038271 0.305546
0.356422 -0.711218 -0.570431 -0.051239 -0.038606 0.306870
0.348568 -0.709868 -0.565445 -0.051123 -0.038959 0.308192
0.339703 -0.708119 -0.560000 -0.051117 -0.039397 0.309924
0.331224 -0.706368 -0.554435 -0.051212 -0.039899 0.311221
0.323377 -0.703999 -0.549646 -0.051609 -0.040457 0.312065
0.314794 -0.702887 -0.544107 -0.051948 -0.041162 0.312816
0.306436 -0.701265 -0.538703 -0.052420 -0.042001 0.313406
0.298429 -0.699371 -0.533658 -0.053058 -0.042838 0.314112
0.290257 -0.697315 -0.528279 -0.053733 -0.043660 0.315139
0.281882 -0.695558 -0.522929 -0.054584 -0.044685 0.316058
0.273592 -0.693663 -0.517673 -0.055441 -0.045708 0.317165
0.264142 -0.691555 -0.511507 -0.056216 -0.046827 0.318766
0.256562 -0.689612 -0.506431 -0.056824 -0.047882 0.319700
0.247383 -0.687857 -0.500450 -0.057394 -0.049019 0.320755
0.239709 -0.685024 -0.495470 -0.058074 -0.049944 0.321563
0.230884 -0.683515 -0.489413 -0.058803 -0.050920 0.322316
0.221740 -0.681341 -0.483406 -0.059673 -0.051860 0.322978
0.212224 -0.678507 -0.477412 -0.060658 -0.052770 0.323658
0.202866 -0.676288 -0.471090 -0.061648 -0.053749 0.324459
0.194878 -0.674527 -0.465692 -0.062557 -0.054632 0.325132
0.184957 -0.672053 -0.459192 -0.063583 -0.055384 0.326076
0.176242 -0.670074 -0.453359 -0.064640 -0.056060 0.326799
0.167338 -0.667813 -0.447290 -0.065736 -0.056634 0.327725
0.157798 -0.665476 -0.440977 -0.066858 -0.057135 0.328343
0.149119 -0.662840 -0.434921 -0.067984 -0.057613 0.328822
0.140791 -0.661097 -0.429218 -0.068898 -0.058085 0.329455
0.132377 -0.659020 -0.423297 -0.069376 -0.058369 0.329986
0.123513 -0.656995 -0.417143 -0.069745 -0.058703 0.330431
0.114735 -0.655387 -0.410994 -0.070025 -0.059129 0.330745
0.105185 -0.653318 -0.404585 -0.070293 -0.059736 0.330917
0.096315 -0.651062 -0.398364 -0.070563 -0.060607 0.331106
0.087150 -0.649060 -0.391856 -0.070885 -0.061725 0.331309
0.078748 -0.647231 -0.385748 -0.071182 -0.062999 0.331730
0.069676 -0.644887 -0.379530 -0.071567 -0.064350 0.332252
0.060963 -0.642487 -0.373153 -0.072048 -0.065899 0.332744
0.052088 -0.640501 -0.366837 -0.072689 -0.067552 0.333324
0.043310 -0.638147 -0.360510 -0.073409 -0.069341 0.334034
0.035213 -0.636302 -0.354558 -0.074119 -0.071104 0.334638
0.027059 -0.634628 -0.348306 -0.074789 -0.073007 0.335468
0.018599 -0.632022 -0.342056 -0.075479 -0.074970 0.336358
0.011025 -0.630747 -0.336037 -0.076087 -0.076811 0.337391
0.004026 -0.628989 -0.330255 -0.076515 -0.078581 0.338307
-0.003999 -0.626830 -0.324040 -0.076886 -0.080313 0.339357
-0.010910 -0.625639 -0.318111 -0.077003 -0.081953 0.340372
-0.017625 -0.623935 -0.312252 -0.076901 -0.083438 0.341440
-0.024927 -0.622008 -0.306125 -0.076686 -0.084832 0.342245
